"""es""","""cn"""
"""¿Dónde vives?""","""你住在哪里？"""
"""Vivo en una universidad.""","""我住在大学里。"""
"""¿Dónde vive tu familia?""","""你的家人住在哪里？"""
"""Mi familia vive en Beijing.""","""我的家人住在北京。"""
"""Voy a cepillarme los dientes.（Me voy a cepillar  los dientes.）""","""我要去刷牙。"""
"""Después de ir al hospital, va/regresa a casa.""","""他去完医院后回家。"""
"""¿Vas a ducharte?（¿Te vas a duchar?）""","""你去洗澡吗？"""
"""Después de cepillarme los dientes, me peino.""","""我刷完牙后梳头。"""
"""¿Cuántos sois tu familia?""","""你家有几口人？"""
"""Por la mañana, mi hermana menor y yo tomamos un autobús para ir al colegio.""","""早上，我的妹妹和我乘公交车去学校。"""
"""Eva lleva a Paco a casa.""","""Eva带Paco回家。"""
"""Eva lleva a mi novia a su casa.""","""Eva带我的女朋友回她家。"""
"""Voy a España a estudiar.""","""我去西班牙学习。"""
"""Este libro es para usted.""","""这本书是给您的。"""
"""Para nosotros, el español es bien.""","""对我们而言，西班牙语是好的。"""
"""Estudiamos español para trabajar en España.""","""我们学习西班牙语为了在西班牙工作。"""
"""Tengo clases por la tarde, por eso no voy al cine.""","""我下午有课，因此没有去电影院。"""
"""¿Cuántos años tienes?/¿Qué edad tienes?""","""你几岁了？"""
"""Tengo18 años.""","""我18岁了。"""
"""Somos tres en mi familia.""","""我家有三口人。"""
"""Vivo en el centro de la ciudad.""","""我住在城中心。"""
"""¿Con quién tenéis la clase？""","""你们和谁一起上课？"""
"""Tenemos la clase con Tomás.""","""我们和Tomás一起上课。"""
"""¿Tú hablas inglés?""","""你说英语吗？"""
"""No, hablamos alemán.""","""不，我们说德语。"""
"""¿De dónde vienes?""","""你从哪里来？"""
