es,cn,pos
estar,在、处于...状况,v.cop.
Mario,马里奥,男子名
Carmen,卡门,女子名
Fernando,费尔南多,男子名
tres,三,num.
latinoamericano、na,拉丁美洲的、拉丁美洲人,adj. -s.
argentino、na,阿根廷人,m. f.
Cuba,古巴,国家名
los,复数阳性定冠词,art.
Carlos,卡洛斯,男子名
Ramírez,拉米雷斯,姓
tarde,下午,f.
bien,好,adv.
gracias,谢谢,f.pl.
le,您、他、她、它、第三人称单数与格代词,pron.
presentar,介绍,tr.
dónde,（在）哪里,adv.
también,同样、也,adv.
pero,但是,conj.
ahora,现在,adv.
China,中国,国家名
enseñar,教、授课,tr.
lengua,语言,f.
en,在...里（上）,prep.
uno、na,一个,art.
universidad,大学,f.
este、ta,这个,adj.
país,国家,m.
hispanohablante,以西班牙语为母语的人,m. f.
ocupado、da,忙碌的,adj.
contento、ta,高兴的,adj.
Víctor,维克多,男子名
Pablo,巴布罗,男子名
Pilar,比拉尔,女子名
cuatro,四,num.
Alemania,德国,国家名
estudiar,学习,tr. intr.
alemán,德语,m.
tener,有,tr.
mucho、cha,很多的,adj.
clase,（一节）课,f.
todo、da,所有的,adj.
siempre,总是,adv.
muy,很,adv.
me,我（单数第一人称宾格和与格代词）,pron.
preguntar,提问,tr.
pues,嗯、是这样,conj.
vario、ria,几个,adj.
hombre,男人,m.
mujer,女人,f.
cada,每一个,adj.
encargarse,担任、承担,prnl.
asignatura,课程,f.
lectura,阅读,f.
gramática,语法,f
conversación,会话、谈话,f.
otro、tra,其他的,adj.
cosa,事情,f.
trabajar,工作、劳动,tr. intr.
